City,Location_Name,Description
Phoenix,Orpheum Theater,"The Orpheum Theatre in Phoenix is a showcase for performing arts and entertainment. It is part of the family of Orpheum Theatres across the nation and hosts dance, drama music, comedy, and a variety of other performances and events. The theatre has great acoustics which appeals to performers and attendees alike. The theatre is staffed by experience professionals who make each and every performance a special event. The Phoenix location is housed in one of the state's most historic venues and it recently underwent a renovation project, making it even more palatial. The theatre was originally opened in 1929 and is listed on the National Register of Historic Places. It is considered the west's most significant theatre structure. The City of Phoenix owns and operates the Orpheum and the theatre is supported by the Friends of the Orpheum Theatre program. This group offers ushering services at the theatre and they also conduct guided tours for those who would like a behind the scenes look at the operations of this great venue. Several hundred volunteers make these events possible. They also participate in an outreach program that seeks to bring theatre to the community in a variety of creative ways. Those interested in learning more should contact Friends of the Orpheum Theatre."
Phoenix,Phoenix Municipal Stadium,"While the regular baseball season brings just one team to Arizona in the Diamondbacks, during the spring training months of February and March, the state is overrun with teams. As the home of the Arizona Cactus League, teams get ready for the season in a part of the country that provides them with late winter and early spring baseball appropriate weather. In Phoenix, the Oakland Athletics play at the Phoenix Municipal Stadium. It is located along the eastern edge of the city, about one mile from both Scottsdale Road and Tempe's Mill Avenue. It is an older stadium, but still in great shape for a spring training facility. While many Phoenix area residents may never get a chance to see a regular season Major League Baseball game, they can enjoy pre-season baseball at the Muni. The A's face the other Cactus League teams, many of which are National League Teams, so Athletic's fans may not normally get to see many of these teams during the regular season. Tickets for Phoenix Municipal Games are a discount compared to seeing the A's play in Oakland, so if you are big fan, head to spring training to see practice and games for a cheaper price in a laid back, fun environment."
Phoenix,Phoenix Police Museum,"If you have an interest in police history or you feel the need to homage to those who protect and defend, consider a visit to the Phoenix Police Museum. There is no admission charge and the museum welcomes everyone to come and learn. Donations are accepted, but not required. The museum is located on South Central Avenue on the corner of Central and Jefferson. It is inside of the Barrister Place Building. Membership to the museum is available and you can join more than 1,200 members who send a $24 donation to the museum each year. Members receive the semi-annual Historian newsletter, as well as collector pins and gift shop discounts. The museum is open Monday, Wednesday, and Friday from 9 am until 3 pm. The museum was founded in the fall of 1993 and began as a small exhibit at City Hall. Over the course of two decades, the museum grew, receiving funding from a variety of sources. Following the attacks of September 11, 2001, the museum received materials from the World Trade Center in memoriam of the tragic event. The Phoenix Police Museum is a great place to visit if you have an interest in law enforcement or if you want to learn more about the history of the police force."
Phoenix,Phoenix Symphony,"Since 1947 the Phoenix Symphony has been providing performances to the cty on the regular basis. They started with occasional performances and the program has blossomed to welcoming more than 300,000 guests to their 200 annual performances. The season runs from September through June and performances include classical and pops performances. The symphony hall is in downtown Phoenix, but performances are also held at Mesa, Scottsdale, Prescott, and throughout the central part of the state. It is a popular field trip destination for school children and it gives them an opportunity to experience classical performances in an interesting way. They symphony seeks to educate the community and is supported by a number of volunteers. The gift shop and the annual Symphony Gala are both organized and run by the volunteers. Their art education program brings the symphony to children and adults in Arizona. The goal of the educational programs is to help children benefit from music performances and to offer adults ongoing educational opportunities that involve the arts. The symphony is an important part of the community and provides art and culture for the Phoenix community. The arts are vital to the city and the symphony rounds out a diverse environment that appreciates the local culture."
Phoenix,Piestewa Peak,"If you are looking for a tough hike for an experienced hiker, head out to Piestawa Peak in Phoenix. Located in the center of Phoenix, this is a popular hike for those looking for a physical fitness challenge, but a relatively mild natural environment. It is right in the middle of an urban area surrounded by highways and residential areas, but gives you a getaway for exercise and fresh air. The area used to be Squaw Park but was recently renamed in honor of Lori Piestewa, a soldier who lost her life in 2003 during Operation Iraqi Freedom. The peak features two trails, the Circumference Trail and the Summit Trail. The Summit Trail is 1.2 miles and reaches the top of the peak. It is a rocky trail which gives the same effect a Stair Master machine might accomplish. The Circumference Trail is 3.75 miles and has a gradual incline. This is great for those who want to walk longer but at a less intense pace. This trail is usually less crowded than the Summit Trail. There is a recreation area surrounding the trails that is great for a picnic or cool drink before or after a hike. When hiking plan to wear comfortable shoes, sunglasses, a hat, sunscreen, and bring plenty of water."
Phoenix,Phoenix Children's Museum,"In an effort to help children see learning as fun, the Children's Museum of Phoenix offers exhibits, events, and programs to delight children of all ages. The exhibits in the museum stimulate the mind, muscles, and imaginations of little visitors. The exhibits are mostly hands-on and target the learning styles of children aged birth through ten years. The museum may make children think they are playing, but all the while learning is taking place. The museum is located in downtown Phoenixe at the corner of 7th Street and Van Buren in the Monroe School Building. The goals of the museum are to educate parents and caregivers about the normal developmental and learning phases of children, to build a cultural understanding for young children, and to provide a variety of engaging projects and exhibits. The museum is a great place to hold a kid's birthday party of special event and birthday packages come in a variety of price ranges. There are three packages from which to choose that include activities, food, and fun. Budget conscious parents will love visiting the museum on the first Friday of each month when admission is free from 6 pm until 9 pm. This makes the museum accessible for children and families who may otherwise not get to enjoy the fun."
Phoenix,Phoenix Mountain Preserve,"The Phoenix Mountain Preserve is a great destination for special events and weddings. Set in a unique mountain location, all of the amenities you need for a perfect event are available right on site. There is personalized, experienced service that will put your mind at ease when planning an important event. Because the services onsite include catering, there are no outside catering options allowed. This means you can relax and let everything be done for you for your big day. There are a variety of spaces for your use including a 720-square foot conference room, a 2900-square foot room to the north, a 6200-square foot room to the south, and a 14,000-square foot outdoor garden plaza. The entire facility offers more than 9900-square feet of entertainment space. Most wedding ceremonies are held outside in the garden plaza. The price of rental includes a bride and a groom's suite, pre-wedding cheese platter, a ceremony coordinator, a three hour block of time, a rehearsal, seating for 150 guests, and a variety of other wedding accessories. Reception packages begin at less than $30 per person and include setup and cleanup, meals, décor, parking, and champagne. Cuisine options include a standard wedding buffet, a deli buffet, a Mexicana buffet, or the specialty buffet."
Phoenix,Shemer Art Center and Museum,"As part of a community that embraces art, Phoenix has a number of museums and the Shemer is known as one of its best. The location was originally several hundred acres known as Arcadia and during the Depression ownership of the property was passed to a banker from Kansas City. He increased the size of the home adding rooms to the structure and renamed it Casa de Wanda. The house was later sold to the Suhr family who wanted a winter home in a climate warmer than their native Pennsylvania. In 1984 the home was sold to Martha Shemer, who loved the house and surrounding area but wanted it operated by the city as a museum. Later that same year, the property became the Shemer Art Center. Her dream of preserving Phoenix history and providing art to the community had come to fruition. Today, the museum is part of the Points of Pride for the City of Phoenix. It was chosen to be part of this elite group from more than 150 locations in and around the city of Phoenix. Featuring a variety of permanent and temporary art exhibits, the museum is a favorite destination of many Phoenix residents."
Phoenix,South Mountain,"South Mountain is the country's largest municipal park bordering Mountain Park Preserve and the Salt River. There are a variety of living environments offered in South Mountain Village. Foothills, open canal systems, citrus groves and agricultural areas all add to the character of the rural village.There are more than sixteen thousand acres of desert included in South Mountain Preserve. It is one of the area's best natural assets due to the picnic areas, biking, hiking and horse trails which give everyone something to do. There are seven bus routes that are served by South Mountain Village Transit Center. The northwest corner of Broadway and Central Avenue has a preserved historical structure.Both downtown Phoenix and South Mountain Park can be seen from Baseline Dobbins Scenic Drive. There are programs for physical fitness and child care offered at the YMCA and local Field of Dreams in the area. Outdoor recreation is available as well. There are also a number of historic styles of farmhouses dating all the way to the start of the 1900's done in Bungalow and National American Folk style.Anyone in the Phoenix, Arizona area should make it a point to visit the South Mountain Park Preserve at least once."
Phoenix,The Raven Golf Club at South Mountain,"The Raven Golf Club at South Mountain is located at 3636 East Baseline Road in Phoenix, Arizona. David Graham and Gary Panks designed the course which has multi-tiered greens and pine trees lining the fairways. There have been a number of recognizable awards and was given a 4 ½ star rating by Golf Digest. It's also recognized for having first class guest service.In addition to hosting a number of golfing events the Raven Golf Club at South Mountain has meeting facilities which can accommodate as many as two hundred people. The club is ideal for business affairs because of it's proximity to downtown Phoenix and the Sky Harbor Airport. There is a first class golf course, professional staff and a number of amenities to make guests and planners to enjoy.The facility has the choice of the Raven Grill or Event pavilion to hold your event. There is a capacity of four hundred people in the Pavilion which looks out onto the pond with two waterfalls. When there is a dance floor only two hundred people can fit in the Pavilion. Raven Grill can accommodate groups with less than a hundred people both outside and inside. Additional information can be obtained by contacting the Raven Golf Club at South Mountain in Phoenix, Arizona directly."
Phoenix,The Tempe Improv,"The Tempe Improv Comedy Club and Dinner Theatre is located at 930 E University Dr. in Tempe, Arizona. The facility which opened during 1963 is known for featuring star filled comedy acts such as Dave Attel and Jerry Seinfeld making it one of the nation's biggest comedy clubs. Specials taped at the club often air on Comedy Central or HBO; the performances often run through the entire weekend with a minimum of two items for the shows being normal at the facility.The Improv Club opens at six in the evening for dining and for shows at eight in the evening. There is a free pass in addition to priority seating given to those that are dining at the facility. The shows prior to the 8p.m. dinner shows offer appetizers, deserts, hamburgers and salads. Simply check dining on the ticket at the box office for priority seating.Improv Comedy Club and Dinner Theatre originated in New York in the early sixties and has since grown to over a dozen locations around the country. Anyone interested in seeing big name comedians while enjoying an evening of dining and relaxation should make it a point to stop by the Tempe, Arizona location if they are ever in the area."
Phoenix,Wells Fargo History Museum,"Well Fargo History Museum is located at 145 W. Adams Street in Phoenix, Arizona. There is no charge of admission for any of the museums. Wells Fargo was founded in New York City on March 18, 1852 by Henry Wells, William G. Fargo and associates. The bank first opened in San Francisco, California on July 13, 1852.There are displays of gold coins, balance scales, Concord Coaches, mining tools and a number of other items that detail the history of Wells Fargo's contributions to the areas. The facility is open from 9am until 5pm Monday through Friday unless it's a bank holiday. In addition to being a bank the company has also been an Express and Stagecoach company through the years.The Butterfield Line stagecoaches that went through Tombstone dating all the way back to 1858 are displayed. There is a genuine nineteenth century stagecoach and a replica that can be climbed on. The facility has a telegraph and art gallery.The art gallery at the Wells Fargo History Museum has the biggest publicly displayed collection of the western themed work of illustrator N.C. Wyeth. The Wells Fargo History Museum can be contacted directly for additional information and details about the facility."
Phoenix,Alwun House,"Alwun House is located at 1204 East Roosevelt Street in Phoenix, Arizona. The house was build during 1948 by John Sedler a German immigrant and was purchased in 1948 by Earl Brown. Kim Moody transformed the run down structure into a place to launch artists during 1971. It was christened Alwun House because all forms of art were included.A non-profit organization to benefit artists known as Alwun House Foundation was later formed. May 11, 1993 saw the house making its way to the Inventory of Historic Properties for the State Historic Preservation Offices of Arizona. This made the house eligible for historic registration on a national level. The art gallery is on the central floor and the basement is utilized as a multi-media theater.Alwun House's theatre produces ""Food for Thought"" which shows the reasons that growing your own food is beneficial to you. Though the years the facility has held a number of events such as art showings, music and even a series of poetry readings. Those with a true interest in art should make it a point to visit the gallery.Additional information about admission rates, hours of operations and events at the Alwun House should contact the facility directly."
Phoenix,Apache Lake,"Apache Lake Marina and Resort in Tortilla Flat, Arizona is a lake facility with a variety of wildlife areas and natural beauty surrounding it. The Three Bar Wildlife Area and the Superstition Wilderness give the seventeen mile long lake a beautiful view. There are a number of outdoor recreational activities to participate in such as camping, hiking, fishing, boating and water skiing at the lake.There are a number painted walls and secluded coves at the Apache Lake that animals such as deer, eagles, big horn sheep and javelina among other desert wildlife. The lake's prize catches are the large and small mouth bass found in it. The facility if family owned and open all year long with a number of amenities.Apache Lake Resort has a restaurant, general store and motel in addition to camp grounds. There are hook-ups for RVs, picnic areas and public facilities. There are storage and rentals for boats. Those with a need for it will find a sheriff's aid station. Visitors can stay in the motel or camp out. The RV hook ups mean that you can camp out while enjoying the picnic area and the lake's activities. Additional information can be obtained by contacting the Apache Lake Marina and Resort directly."
Phoenix,Arizona African Art Museum,"Arizona African Art Museum is located at 400 North Fifth Street suite #1 in Phoenix, Arizona. There is no charge for admission to the museum. APS is the major corporate sponsor for the museum and is in the Arizona Center along with the museum. In 2001 there was a new venue chosen at Heritage Square that offered twice as much room.The museum is full of artifacts dating back to the 1800's all the way to the middle of the 1900's. There are chairs, utensils and ceremonial items found in the facility. There are labels on each piece identifying the Tribe and Region that it came from. Visitors will notice a similarity between the items in the Arizona African Art Museum. There are pictures of the displays to show how the museum offers and interactive experience.Getting to the museum is simple. When you get to Phoenix the museum is at 400 North 5th Street Building number 2 Suite number 1 on the first floor. The artifacts are encased in glass. The Arizona African Art Museum is open Monday through Friday from eleven in the morning until five in the evening; on Saturday the museum opens at eleven in the morning and closes at two in the evening. There is no charge for admission."
Phoenix,Arizona Biltmore Resort Links Course,"The Arizona Biltmore which Albert Chase McArthur designed opened on the 23rd of February in 1929. The resort offers three golf courses, an 18 hole putting course, the Abode and the Links in addition to the numerous amenities at the resort itself. The facility is located at 2400 East Missouri Avenue in Phoenix, Arizona.The Links Course is the newest at the Biltmore Resort. There are pine trees lining the fairways that are surrounded by some of the most beautiful homes in Phoenix. There are well bunkered greens that demand precision in the golf game. Those that wish to stay a few days will find amazing accommodations in the hotel.The amenities at the Arizona Biltmore resort include a desk with two chairs, speed dialing and voice mail on two phones in addition to a high speed Internet connection. Rooms also come with hair dryers, scale, make-up mirrors and a stocked mini bar. The facility has staff available twenty-four hours in order to meet guests' needs.The Arizona Biltmore resort offers three golf courses, an amazing view and numerous amenities that make the stay enjoyable. Anyone wishing to obtain additional information about the facilities or make reservations should contact the facility directly."
Phoenix,Arizona Buddhist Temple,"The Arizona Buddhist Temple is located at 4142 West Clarendon Avenue in Phoenix, Arizona. The temple is an affiliate of Kyoto, Japan's Nishi Hongwanji and Buddhist Churches of America that was established in the middle of the 1930's. It is Arizona's oldest Buddhist temple. After the temple reopened from its closing during World War II there was a fire that accidentally destroyed the temple during March during 1957 and it was moved into a barracks for a short time.In 1961 the building that now houses the Arizona Buddhist Temple. Sunday mornings there are Adult Study Classes, Dharma School and religious services held at ten in the mornings. Once a month there is a Memorial Service held at eleven thirty in the morning. There are no pictures allowed inside the main hall.When entering the temple visitors are asked to put their palms together with thumbs and fingers aligned and have their elbows close to the body. Those attending the service should have their hands about the middle of your chest bow in the direction of the shrine before taking your seat and waiting quietly for the services to begin. Those wishing to obtain additional information should contact the temple directly."
Phoenix,Arizona Capitol Museum,"Arizona Capitol Museum is located at 1700 West Washington in Phoenix, Arizona. The Museum is open from nine in the morning until four in the evening Monday through Friday. The store is opens at 9:30 a.m. and closes at 4 p.m. Monday through Friday. The facilities are closed on State Holidays. There is free parking for the facility available at the Wesley Bolin Plaza for those that wish to take advantage of all the Museum has to offer.The museum has a Lunch Bunch each month on the third Wednesday. The free program covers both current and historical events in Arizona. Arizona State Capitol Museum Guild provides cookie and coffee at the events; you must bring your own lunch. Guild meetings are held after the Lunch Brunch on the first floor in the Visitor's Lounge at about one in the afternoon.The store offers a number of mementos and special order items to help visitors remember their visit. Annual events at the museum include Arizona Statehood Day during the month of February, Holiday Tree Trimming and Pearl Harbor Remembrance day during December. Additional information about the Arizona Capitol Museum, its store, annual events and displays can be obtained by contacting the facility directly."
Phoenix,Arizona Center,"The Arizona Center is located at 400 East Van Buren Street in Phoenix, Arizona. The facility is open from 10 a.m. until 9 p.m. Monday through Friday and from 11 a.m. until 5 p.m. on Sunday. The open air facility offers shopping, dining, gardens and ponds for patrons enjoyment. The mall is in the middle of Phoenix's downtown and within minutes of the Sky Harbor Airport, a number of major attractions and hotels.The facility has an ATM for convenience of patrons. There is a parking garage for the facility at Fillmore and Fifth Street on the properties North East corner. The garage provides convenient access to the nearby attractions of downtown as well. There are a number of restaurants to offer a wide variety of choices to patrons.The Arizona Center also offers a number of programs for the enjoyment of patrons. The Grotto is an ideal place to hold weddings, private parties or corporate events. The facility covers three acres of gardens to provide a beautiful setting for your events. There are also AMBER alert notifications and live music at the facility.Additional information about pricing, retail stores and other services at the Arizona Center can be obtained by contacting the facility directly."
Phoenix,Arizona Hall of Fame Museum,"Arizona Hall of Fame Museum is located at 1101 West Washington in Phoenix, Arizona. There is no charge for admission although the facility is open only by appointment. The 1908 Carnegie Library has been restored to house the facility that holds exhibits about the people of the state and the Arizona Women's Hall of Fame.Arizona Women's Hall of Fame Program was established during 1979 by Governor Bruce Babbitt's office and the Arizona Women's Commission. The goal was to honor the women that had a significant impact on the state's history. October of 1981 was when the first induction ceremony was held after a great deal of research was conducted on the nominees. Every two years there are new women inducted into the Hall of Fame.The Museum received a large grant in 2008 that allowed it to update the website and exhibits in the Carnegie Center. There have been seventy-five women inducted into the museum. The exhibit in the Carnegie Center shows a number of custom quilts that features the museums inductees.Those wishing to obtain additional information about the Arizona Hall of Fame Museum and its history should contact the facility directly. Anyone interesting in seeing exhibits at the museum should call for an appointment."
Phoenix,Arizona Military Museum,"Arizona Military Museum is located at 5636 East McDowell Road in Phoenix, Arizona. The facility is open from 1 p.m. until 4 p.m. on Saturday and Sunday. There are appointments required for group tours; the facility is closed during the summer. Admission to the museum is free of charge.Arizona Military Museum is a remodeled arsenal that houses memorabilia from Arizona's military history. There are photographs, weapons, uniforms and archival material. The non-profit Arizona National Guard Historical Society operates the facility. The members of the society and the National Guard take care of the maintenance and operations of the facility.The Arizona Military Museum was built during 1936 as one of the public works projects during the Depression. Until World War 11 the building was used as an arsenal for the National Guard after the war it was changed in the maintenance shop for POWs from a close by camp. The facility covers history from the 16th century though the current day giving visitors a wide range of aspects to choose from.Those wishing to obtain additional information about the Arizona Military Museum, its exhibits or just get directions should contact the facility directly. Anyone interested in the history of the military should make it a point to visit the museum if they are in the Phoenix, Arizona area."
Phoenix,ASU Art Museum,"ASU Art Museum or Herberger Institute for Design and the Arts is located at 10th Street and Mill Avenue in Tempe, Arizona. The facility is ten minutes away from Phoenix's downtown utilizing I-10 and the Phoenix Sky Harbor International Airport on Arizona State University's main campus on the 10th street and Mill Avenue's SE corner in the Nelson Fine Arts Center.There is no charge for admission to the Museum. The facility is closed for holidays, Mondays and Sundays. The facility opens at eleven in the morning on Tuesday through Wednesday. On Tuesday the facility closes at eight in the evening the rest of the week it closes at five in the evening. There is free parking available for the facility as well.The facility was founded during 1950 with a gift from local lawyer Oliver B. James. Over a time span of five years Mr. James donated one-hundred and forty-nine art works. The Matthews Library originally housed the collection until it moved to the newly completed Hayden Library during 1965. By 1978 the collection too up the Matthews Center's second floor and just kept growing.Those wishing to obtain additional information about exhibits and hours of operation should contact the ASU Art Museum directly."
Phoenix,Mini Golf Paradise,"Mini Golf Paradise is an indoor 18 hole mini golf experience located at 15230 N. 32nd Street in Phoenix, Arizona. The facility is found at the southwest corner of 32nd Street and Greenway. The entire setting of the mini golf venue is decorated in a safari theme and provides challenging obstacles for the entire family to enjoy. Jungle themed animal displays are scattered throughout the facility including statues and sculptures of tigers, lions, elephants, zebras, gorillas, hippos, rhinos, and more. The facility is air conditioned to provide a comfortable playing venue even on the most scorching heat filled Arizona days. Mini Golf Paradise is a popular place during the hot summer months. Rates are reasonable and specials and discounts are offered for groups and large families. Children under the age of three years old are free with the admission paid for an adult.Birthday parties can be hosted at the Mini Golf Paradise and include one round of indoor golf, a private room for guests, pizza, drinks, goody bags, party invitations, thank you notes, and even a souvenir cup for each birthday child. The price is charged per head and reservations are welcomed and encouraged well in advance of the birth date celebrations to ensure availability."
Phoenix,Papago Park,"Papago Park is one of the most popular parks in the Phoenix, Arizona region. With its amazing scenery and hiking trails, Papago Park is one park you do not want to miss when visiting the Phoenix area. Sandstone buttes and expansive yet easy hiking trails are just some of the fun things that can be found at this location. Some of the recreations facilities found at the park include an archery range located at 62nd and Oak Streets and is open from dawn to dusk daily. Fishing lagoons can be found at the park and cover nearly 8 acres. In order to fish in the lagoons an Arizona urban fishing license is required. The lagoons are well stocked with catfish during the summer months and trout throughout the winter season. The fishing lagoons provide fun for the entire family to enjoy.A softball complex can also be found at Papago and includes four championship softball diamonds that are lit up for nighttime use. The ranger station and information booth is located to the south of the Hole-In-The-Rock and hiking maps and trail guides can be found here. A large exercise course that expands 1.7 miles is located by the Parks Department Central District East office."
Phoenix,Papago Golf Course,"Papago Golf Course is a public golf course owned and operated by the city of Phoenix, Arizona. The course was recently revitalized and revamped, opening its doors again to the public in 2008. Due to its convenient location, Papago is popular among area residents. The course is set up to cater to all skill levels, from novice to expert. Located in the heart of Phoenix, Papago is a great afternoon outing or a weekend getaway. Hotels and nearby accommodations provide an added bonus while golfing at this public facility.The course offers a desert landscape that combines sandstone, cactus, and other Arizona type landscape and decor. The course offers 18 holes with lots of room for golfing pleasure. The facility is not private but open to the general public and offers a large club house and equipment rentals at reasonable fees. The area is enjoyed by locals of the greater Phoenix area as well as tourists traveling through Arizona. The course has become increasingly popular over the years and its notoriety is steadily growing since the renovation. The desert track is similar to many of the other public golf courses in the area but provides open fairways and Arizona hospitality."
Phoenix,Southwestern College,"Southwestern College is located in Paradise Valley which is twelve miles north of downtown Phoenix, Arizona. The college offers courses for students to obtain their bachelor level degree in areas such as Christian Ministries, Business Administration, Family Studies, Elementary and Secondary education and Music Education.The college started after pastors in the Phoenix area decided to open a denominationally based college. The classes started in the fall of 1960 and were held in a local Baptist church while the campus was being built.Students who attend the college must be born-again believers who attend a Christian church. Each student is required to attend scheduled chapel attendance and that they maintain a standard of conduct that is based on Biblical principles.The college has performed well over the years in many sports. These sports have included Men's Baseball, Basketball, Soccer and Golf, and Women's Basketball, Volleyball, Cross-Country and Golf. The college was added to the NAIA in the fall of 2009.The Slogan of the college is 'Intentionally Christian'; their mission statement is that they will, 'provide a biblically integrated education that prepares graduates to serve the Lord Jesus Christ'. The goal of the college is that students will graduate with concepts from the bible to help them evaluate biblical truth and apply that in everyday life, to develop critical judgment and to participate in the ministry of the local church.These goals and mission are accomplished by six steps. Communication. Critical Thinking. Biblical Literacy and Integration. Technology Literacy. Personal and Professional Ethics and Interpersonal Skills."
Phoenix,St. Mary's Basilica,"St. Mary's Basilica is located in Phoenix, Arizona and was founded in 1881 as The Church of the Immaculate Conception of the Blessed Virgin Mary. The church building was completed in 1914, dedicated in 1915 and as the oldest Roman Catholic parish in the Phoenix, was listed on the National Register of Historic Places in 1978. Mass is celebrated each day of the week at the basilica and also hosts many other community events each week.The church features the largest stained glass window collection in Arizona and has a Spanish Mission structure that support four domes that span the length of the Basilica. The church was elevated to a basilica after Pope John Paul II visited the church in 1987.The church has a Ministry of Care, where trained lay ministers are able to visit members of the church who are unable to attend a service at the church. The church also hosts the Morning Meal Program where dedicated volunteers provide a morning meal to those in need.Visitors are able to take a tour of Via Assisi Gift Shop and walk along the cobblestone streets of Assisi. The shop stocks many religious gifts to deepen faith or spirituality or express faith in the home. There are many modern and traditional versions of the Cross available for purchase along with many unique candles.St. Mary's Basilica believes in the power of the Sacred Liturgy that challenges all too faithfully live out Gospel values of peach and justice. They are committed to educate and form a community that joyfully celebrates an oneness in Christ."
Phoenix,Symphony Hall and Terrace,"Symphony Hall and Terrace is located in Phoenix, Arizona and is home to the Phoenix Symphony and the Arizona Opera. The hall hosts many theater and musical events throughout the year and many special events are held outside on the Symphony Terrace.Many Broadway productions have been performed in the hall since its opening in 1947, along with well known performers. Originally the hall only performed a small amount of concerts each year, these days over 300,000 people attend more then 200 performances each year.The symphony presents many different programs each year, from classic, symphony pop, and chamber orchestra and family presentations. There is no dress code to attend a performance at the hall, although many dress in evening attire to have that special feeling that they are off for an evening at 'the theater'.Special seating is provided for those attending performances who are disabled. Parents are encouraged to bring their children to performances that are held during the family concert series.Located on the terrace is the Peacock Fountain which is one of the most photographed attractions in Arizona.To ensure that all visitors enjoy their night at the symphony guest's area asked to turn off all cell phones and pagers and to refrain from disrupting other patrons enjoying the performance."
Phoenix,Tovrea Castle,"Tovrea Castle was built between 1928-1930 and sits atop a cactus-covered hill in Phoenix, Arizona. The castle has intrigued many residents and visitors for many generations, there is also a desert garden within the surrounding 44 acres of the castle which has been named Carraro Cactus Garden after the builder of the castle, Alessio Carraro.The castle underwent a massive restoration in recent years and there are constant efforts to keep the cactus garden in a pristine state. The castle is a Phoenix Point of Pride and was listed on the City Historic Property Registry in 1990 and the National Register of Historic Places in 1996.The castle was built by Italian immigrant Alessio Carraro when he was searching for his American dream. Allesio and his son shaped the land into a spectacular desert paradise and built the wedding cake-shaped castle which is reminiscent of his Italian homeland.The castle was purchased by the City of Phoenix in 1993 to preserve the site for future use. The staff from the Phoenix Parks and Recreation Department has worked hard to restore the castle and garden which features over 5,000 cacti in over 100 varieties.Unfortunately due to budget restrictions, no tours of the castle and garden are being held. The city is hoping that community partners will help to make these tours available again in the very near future."
Phoenix,Wesley Bolin Memorial Plaza,"The Wesley Bolin Memorial Plaza is located in Phoenix, Arizona. It is an urban park at the front of the Arizona state capitol complex. There are many memorials which honor prominent figures in Arizona history along with significant wars and other historical events in the state. The plaza has been designated as one of the Phoenix Points of Pride.The plaza was established on March 9, 1978, in honor of Governor Wesley Bolin, who unfortunately passed five days before. The mall was created with an intended use as an open-air public space that features monuments, memorials and gardens.Due to the location of the plaza it is used as a meeting place and focal point for protests and demonstrations. This was the case at the 2006 United States immigration reform protests where over 100,000 people took part in the rally.There are 27 memorials at the plaza, the more prominent are the mast and anchor of the USS Arizona, other memorials are war related World War I and II, the Vietnam War and Desert Storm. There is also the Civilian Conservation Corps Memorial, Law Enforcement Memorial, Father Kino Statue, Arizona Pioneer Women Memorial and the Ernest W. McFarland Memorial.The plaza has had its share of controversies over the years, due to the nature of the event of the subject of the monument, legal battles have even ensued over some of the monuments and memorials at the plaza. These have included the Ten Commandments Memorial, efforts were made to remove this monument as it was argued that it violated the concept of separate of church and state, as the plaza is a government operated location.Another controversial memorial is the one erected to commemorate the September 11, 2001 attacks. Criticism started immediately as the memorial contained anti-American sentiments and some of the descriptions were meaningless. This process is ongoing."
Phoenix,Western International University,"The Western International University is location in Phoenix, Arizona; it is a place that provides a broad educational foundation along with a focus on business and technology that aims to prepare students for leadership positions in the global marketplace.The purpose of the university is to provide an education to students including working adults and international students. To provide the education in a format, time and location that is conductive to the students and to maintain an emphasis on continuous improvement of programs and services.The university was founded in 1978 as a non-profit institute to provide an education to working adults and provide them with the opportunity to demonstrate their achievements through tests, papers and presentations rather than study groups or learning teams.Educating working adults is the specialty of the university and offers associate, bachelor and master degree programs along with a professional certificate in Accountancy. Classes are offered with convenient class schedules, online or on-campus learning to prepare students to succeed in their business life.The Western International University prides them on being able to provide the opportunity for people from all over the world to participate in their classes. Students from over forty countries attend class at the campus or they can participate online with WIU Interactive Online. Students from the US are also able to study abroad.Tours of the University are offered to showcase the education, culture and business aspect of WIU which provides flexible schedules and personal attention to all students."
Phoenix,Work of Artists Gallery,"The Work of Artists Gallery is located at 7000 E. Mayo Boulevard, Phoenix, Arizona. The contemporary gallery is 6,000 square feet in size and feature work from over 200 artists, 80% of which are local artists. The works on show include paintings, pottery, glass art, and photography and art furniture.The gallery is open seven days a week, on Monday to Saturday from 10am to 6pm and Sunday's from 11am to 5pm.The jewelry on show includes works from Margret Designs, Color Fire, Got it Made and Silver and Stones. The gallery presents Tucson Art from The Casey Collection, Architectural Elements. These pieces include Botanical, clocks, fountains and paintings.Religious Art at the gallery include works by Janyse Florek, she creates rock art after her sister in law expressed an interest in creating a family endeavor. Janyse finds petroglyphs that show that Hebrew Script is alive and inspiring. She finds Arizona Sandstone that has been mined from quarries in Northern Arizona and used sandblasting for etching. It is unknown what design will appear on the stone until it has been blasted.Visitors can purchase gift items from the gallery for themselves or for the person who seems to have everything. Items available include bookmarks, kitchen art, faucet handles or Whimsical art."
